name,averageCost,mountains,beach,nightlife,adventure,luxury,culture,budget
Manali,12000,1,0,0,1,0,0,1
Goa,15000,0,1,1,0,1,0,0
Udaipur,18000,0,0,0,0,1,1,0
Rishikesh,10000,1,0,0,1,0,0,1
Jaipur,13000,0,0,0,0,0,1,1
Kerala,17000,0,1,0,0,1,1,0
Ladakh,20000,1,0,0,1,0,0,0
Pondicherry,14000,0,1,0,0,0,1,0
Andaman,25000,0,1,0,0,1,0,0
Kasol,9000,1,0,0,1,0,0,1
Darjeeling,11000,1,0,0,0,0,1,1
Shimla,12500,1,0,0,0,0,0,1
Gokarna,13000,0,1,0,0,0,0,1
Coorg,16000,0,0,0,1,1,0,0
Mysore,14000,0,0,0,0,0,1,1
Hampi,9000,0,0,0,1,0,1,1
Alleppey,15000,0,1,0,0,1,1,0
Munnar,14000,1,0,0,0,0,0,1
Spiti,18000,1,0,0,1,0,0,0
Kodaikanal,13000,1,0,0,0,0,0,1
